Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,45.03,0,0,72.05,84.50576,2.018761,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.2973822,0,16.85916,45.03,0,0,72.04085,84.50576,2.020246,0,0,0,0,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.010,0,0.2973822,0,33.71832,45.02956,0,0,72.03168,84.50576,2.02173,0,0,0,0,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.010,0,0.2973822,0,50.57747,45.02826,0,0,72.02253,84.50576,2.023214,3.96507409040808,3.9650740899064,0.000063074578745668,0.0396507400050168,0.03965074,0.0000006307458,89.9999,89.9999,0.0001982537,0.000000003153729
0.04,S,0.04,0.010,0,0.2973822,0,67.43663,45.02609,0.00000009063888,0,72.01337,84.50576,2.024698,16.0137545409908,16.0137545407699,0.0000841034929305493,0.199788300005421,0.1997883,0.000001471781,89.9999,89.9999,0.001395449,0.00000001366636
0.05,S,0.05,0.010,0,0.2973822,0,84.29578,45.02305,0.000002301188,0,72.00421,84.50576,2.026182,28.0647568428164,28.0647568426195,0.000105136460624572,0.480435800006626,0.4804358,0.000002523146,89.9999,89.9999,0.004796569,0.000000033641
0.05999999,S,0.05999999,0.010,0,0.2973822,0,101.1549,45.01914,0.00001330707,0,71.99506,84.50576,2.027667,40.1187840531294,40.118784052931,0.00012617470889479,0.881623600008124,0.8816236,0.000003784893,89.9999,89.9999,0.01160687,0.00000006518119
0.06999999,S,0.06999999,0.010,0,0.2973822,0,118.0141,45.01436,0.00004481033,0,71.9859,84.50576,2.029151,52.1765126732884,52.1765126730807,0.000147219413674641,1.40338900000985,1.403389,0.000005257087,89.9999,89.9999,0.02303193,0.0000001103911
0.07999999,S,0.07999999,0.010,0,0.2973822,0,134.8732,45.00871,0.0001135449,0,71.97674,84.50576,2.030635,64.2386258419699,64.2386258417495,0.000168271772024112,2.04577500001177,2.045775,0.000006939805,89.9999,89.9999,0.04027775,0.0000001713755
0.08999999,S,0.08999999,0.010,0,0.2973822,0,151.7324,45.0022,0.0002412831,0,71.96758,84.50576,2.03212,76.3058322405651,76.3058322403302,0.000189333020851826,2.80883300001389,2.808833,0.000008833135,89.9999,89.9999,0.06455079,0.0000002502402
