Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,49.6,0,0,73.62,84.50576,1.764304,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.2973822,0,37.82125,49.6,0,0,73.60252,84.50576,1.767138,0,0,0,0,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.010,0,0.2973822,0,75.6425,49.59885,0,0,73.58504,84.50576,1.769971,16.8941061697287,16.8941061695116,0.0000856399973765106,0.168941100002171,0.1689411,0.0000008564,89.9999,89.9999,0.0008447054,0.000000004282
0.03,S,0.03,0.010,0,0.2973822,0,113.4638,49.59543,0.000001645442,0,73.56755,84.50576,1.772805,41.433241168466,41.4332411682668,0.000128468865615998,0.58327350000393,0.5832735,0.000002141089,89.9999,89.9999,0.004605778,0.00000001926944
0.04,S,0.04,0.010,0,0.2973822,0,151.285,49.58972,0.00001961355,0,73.55007,84.50576,1.775639,65.9802789275756,65.9802789273532,0.00017131152781362,1.24307600000598,1.243076,0.000003854204,89.9999,89.9999,0.01373753,0.00000004924591
0.05,S,0.05,0.010,0,0.2973822,0,189.1062,49.58172,0.00008908551,0,73.53259,84.50576,1.778472,90.5385895569555,90.5385895567022,0.000214173865921064,2.14846200000837,2.148462,0.000005995943,89.9999,89.9999,0.03069521,0.00000009849664
0.05999999,S,0.05999999,0.010,0,0.2973822,0,226.9275,49.57144,0.0002661134,0,73.51511,84.50576,1.781306,115.111535600457,115.11153560017,0.000257061744340255,3.29957700001112,3.299577,0.00000856656,89.9999,89.9999,0.05793541,0.0000001713092
0.06999999,S,0.06999999,0.010,0,0.2973821,0,264.7487,49.55888,0.0006276643,0,73.49762,84.50576,1.784139,139.702491518927,139.702491518605,0.000299981056959795,4.69660200001424,4.696602,0.00001156637,89.9999,89.9999,0.09791631,0.0000002719738
0.07999999,S,0.07999999,0.010,0,0.2973821,0,302.57,49.54403,0.00127168,0,73.48014,84.50576,1.786973,164.314766307713,164.314766307355,0.000342937579043059,6.33974900001774,6.339749,0.00001499575,89.9999,89.9999,0.1530981,0.0000004047844
0.08999999,S,0.08999999,0.010,0,0.297382,0,340.3912,49.52689,0.002317147,0,73.46265,84.50576,1.789806,188.951777946626,188.951777946232,0.000385937276138002,8.2292670000216,8.229267,0.00001885512,89.9999,89.9999,0.2259431,0.0000005740387
0.09999999,S,0.09999999,0.010,0,0.2973819,0,351.2259,49.50748,0.003904186,0,73.44518,84.50576,1.79264,196.078743500955,196.07874350055,0.000398376179522414,10.1900500000256,10.19005,0.00002283888,89.9999,89.9999,0.3180397,0.0000007825087
0.11,S,0.11,0.010,0,0.2973817,0,359.0621,49.48651,0.005986313,0,73.42769,84.50576,1.795473,201.268834017205,201.268834016793,0.000407434594870482,12.2027400000297,12.20274,0.00002691323,89.9999,89.9999,0.4300037,0.000001031269
0.12,S,0.12,0.01052208,0,0.2999221,0,366.8983,49.46506,0.00865793,0,73.4102,84.50576,1.798307,206.465274834103,206.465274833683,0.000416504092195555,14.2673900000338,14.26739,0.00003107827,89.9999,89.9999,0.5623543,0.000001321227
0.13,S,0.13,0.01230237,0,0.3064481,0,374.7344,49.44313,0.01209303,0,73.39272,84.50576,1.801141,211.668069957382,211.668069956954,0.000425584682819555,16.3840700000381,16.38407,0.00003533412,89.9999,89.9999,0.7156116,0.000001653289
0.14,S,0.14,0.01412753,0,0.3105385,0,382.5706,49.42073,0.01616017,0,73.37524,84.50576,1.803974,216.877465382959,216.877465382523,0.000434676796066699,18.5528500000424,18.55285,0.00003968089,89.9999,89.9999,0.8902962,0.000002028363
0.15,S,0.15,0.01599762,0,0.3129303,0,390.4067,49.39786,0.02088111,0,73.35776,84.50576,1.806808,222.093591778905,222.093591778462,0.000443780651279798,20.7737900000468,20.77379,0.0000441187,89.9999,89.9999,1.086929,0.000002447362
0.16,S,0.16,0.01791269,0,0.314147,0,398.2429,49.37451,0.02628127,0,73.34027,84.50576,1.809641,227.316585776188,227.316585775737,0.000452896495640929,23.0469600000513,23.04696,0.00004864766,89.9999,89.9999,1.306033,0.000002911193
0.17,S,0.17,0.0198728,0,0.3145437,0,406.0791,49.35069,0.03238823,0,73.32279,84.50576,1.812475,232.546611856025,232.546611855566,0.000462024611863927,25.3724300000559,25.37243,0.00005326791,89.9999,89.9999,1.54813,0.000003420771
0.18,S,0.18,0.02187801,0,0.3143618,0,413.9152,49.3264,0.039231,0,73.30531,84.50576,1.815308,237.783790023252,237.783790022785,0.00047116521376097,27.7502700000606,27.75027,0.00005797956,89.9999,89.9999,1.813744,0.000003977008
0.19,S,0.19,0.02392838,0,0.3137678,0,421.7514,49.30164,0.04683976,0,73.28783,84.50576,1.818142,243.028283654927,243.028283654452,0.000480318582114651,30.1805500000653,30.18055,0.00006278275,89.9999,89.9999,2.103398,0.00000458082
0.2,S,0.2,0.02602397,0,0.3128787,0,429.5876,49.2764,0.05524566,0,73.27034,84.50576,1.820976,248.280194198841,248.280194198358,0.00048948489398261,32.6633500000701,32.66335,0.0000676776,89.9999,89.9999,2.417617,0.000005233122
0.21,S,0.21,0.02816486,0,0.3117779,0,437.4237,49.25069,0.06448077,0,73.25286,84.50576,1.823809,253.539702718004,253.539702717514,0.000498664469750227,35.198750000075,35.19875,0.00007266425,89.9999,89.9999,2.756927,0.000005934831
0.22,S,0.22,0.03035111,0,0.3105258,0,445.2599,49.2245,0.07457805,0,73.23537,84.50576,1.826643,258.806931648107,258.806931647609,0.000507857514361963,37.78682000008,37.78682,0.00007774282,89.9999,89.9999,3.121855,0.000006686867
0.23,S,0.23,0.03258278,0,0.3091667,0,453.096,49.19785,0.08557109,0,73.21789,84.50576,1.829476,264.082043474295,264.082043473789,0.00051706432453176,40.427640000085,40.42764,0.00008291347,89.9999,89.9999,3.512928,0.000007490148
0.24,S,0.24,0.03485995,0,0.3077332,0,460.9322,49.17072,0.09749434,0,73.20041,84.50576,1.83231,269.365159674924,269.36515967441,0.000526285099150818,43.1212900000902,43.12129,0.00008817633,89.9999,89.9999,3.930672,0.000008345597
0.25,S,0.25,0.03718268,0,0.3062499,0,468.7684,49.14311,0.1103829,0,73.18292,84.50576,1.835143,274.656424344643,274.656424344121,0.00053552009846729,45.8678500000954,45.86785,0.00009353153,89.9999,89.9999,4.375618,0.000009254136
0.26,S,0.26,0.03955105,0,0.3047353,0,476.6045,49.11504,0.1242728,0,73.16544,84.50576,1.837977,279.955979534414,279.955979533884,0.000544769566026698,48.6674100001006,48.66741,0.00009897923,89.9999,89.9999,4.848294,0.00001021669
0.27,S,0.27,0.04196512,0,0.3032033,0,484.4407,49.08649,0.1392003,0,73.14796,84.50576,1.840811,285.263990689906,285.263990689368,0.000554033794971386,51.520050000106,51.52005,0.0001045196,89.9999,89.9999,5.349232,0.00001123418
0.28,S,0.28,0.04442498,0,0.3016646,0,491.4697,49.05746,0.1552029,0,73.13048,84.50576,1.843644,290.051254907731,290.051254907186,0.000562389147659857,54.4205600001115,54.42056,0.0001101435,89.9999,89.9999,5.878935,0.0000123075
0.29,S,0.29,0.04692613,0,0.30013,0,491.2344,49.02797,0.1722864,0,73.11299,84.50576,1.846478,290.079484207791,290.079484207246,0.000562438416271252,57.3213500001169,57.32135,0.0001157679,89.9999,89.9999,6.437644,0.00001343706
0.3,S,0.3,0.04942753,0,0.2989634,0,490.9991,48.99828,0.1903964,0,73.09551,84.50576,1.849311,290.108308881841,290.108308881296,0.000562488725170096,60.2224300001224,60.22243,0.0001213928,89.9999,89.9999,7.025363,0.00001462286
0.31,S,0.31,0.05192919,0,0.2989147,0,490.7638,48.96862,0.2101181,0,73.07803,84.50576,1.852145,290.135983402478,290.135983401933,0.0005625370265541,63.1237900001278,63.12379,0.0001270182,89.9999,89.9999,7.642095,0.00001586491
0.32,S,0.32,0.05443112,0,0.2988057,0,490.5285,48.93897,0.230763,0,73.06055,84.50576,1.854978,290.163008811872,290.163008811327,0.000562584194954181,66.0254200001332,66.02542,0.000132644,89.9999,89.9999,8.287841,0.00001716323
0.33,S,0.33,0.05693328,0,0.298648,0,490.2932,48.90933,0.2523273,0,73.04306,84.50576,1.857812,290.1893611146,290.189361114055,0.00056263018846648,68.9273100001387,68.92731,0.0001382703,89.9999,89.9999,8.962605,0.0000185178
0.3399999,S,0.3399999,0.05943569,0,0.2984506,0,490.058,48.87971,0.2748072,0,73.02558,84.50576,1.860645,290.21504154864,290.215041548095,0.000562675009251505,71.8294600001441,71.82946,0.0001438971,89.9999,89.9999,9.666389,0.00001992863
0.3499999,S,0.3499999,0.06193834,0,0.2982211,0,489.8227,48.8501,0.2981994,0,73.00809,84.50576,1.863479,290.240076403698,290.240076403152,0.000562718703217118,74.7318600001496,74.73186,0.0001495243,89.9999,89.9999,10.39919,0.00002139574
0.3599999,S,0.3599999,0.06444123,0,0.2979653,0,489.5873,48.82051,0.3225003,0,72.99061,84.50576,1.866313,290.264395994516,290.26439599397,0.000562761148691757,77.634500000155,77.6345,0.0001551519,89.9999,89.9999,11.16103,0.00002291912
0.3699999,S,0.3699999,0.06694433,0,0.2976883,0,489.3521,48.79093,0.3477072,0,72.97313,84.50576,1.869146,290.288091780508,290.288091779962,0.000562802505349734,80.5373800001605,80.53738,0.0001607799,89.9999,89.9999,11.95189,0.00002449878
0.3799999,S,0.3799999,0.06944767,0,0.2973941,0,489.1168,48.76137,0.3738168,0,72.95564,84.50576,1.87198,290.311119304303,290.311119303757,0.000562842695574288,83.4404900001659,83.44049,0.0001664083,89.9999,89.9999,12.77178,0.00002613472
0.3899999,S,0.3899999,0.07195123,0,0.2970861,0,488.8815,48.73182,0.4008264,0,72.93816,84.50576,1.874813,290.333479153573,290.333479153027,0.000562881720390922,86.3438300001714,86.34383,0.0001720371,89.9999,89.9999,13.6207,0.00002782695
0.3999999,S,0.3999999,0.07445499,0,0.2967672,0,488.6462,48.70228,0.4287331,0,72.92068,84.50576,1.877647,290.355197195875,290.355197195329,0.000562919624970781,89.2473800001768,89.24738,0.0001776663,89.9999,89.9999,14.49865,0.00002957547
0.4099999,S,0.4099999,0.07695898,0,0.2964397,0,488.4109,48.67276,0.4575344,0,72.9032,84.50576,1.88048,290.376248718701,290.376248718155,0.000562956366158343,92.1511500001823,92.15115,0.0001832959,89.9999,89.9999,15.40565,0.00003138028
