Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,45.03,0,0,72.05,84.50576,2.018761,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.2973822,0,35.0079,45.03,0,0,72.03419,84.50576,2.021325,0,0,0,0,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.010,0,0.2973822,0,70.01579,45.02901,0,0,72.01836,84.50576,2.023889,17.8534846840626,17.8534846838491,0.0000873144317710276,0.178534900002135,0.1785349,0.0000008731443,89.9999,89.9999,0.0008926744,0.000000004365722
0.03,S,0.03,0.010,0,0.2973822,0,105.0237,45.02605,0.000001837631,0,72.00255,84.50576,2.026453,42.8721686945835,42.8721686943834,0.00013098026771055,0.607256600003924,0.6072566,0.000002182947,89.9999,89.9999,0.004821632,0.00000001964618
0.04,S,0.04,0.010,0,0.2973822,0,140.0316,45.0211,0.00002125965,0,71.98673,84.50576,2.029016,67.8985251777356,67.898525177511,0.000174659498499421,1.286242000006,1.286242,0.000003929542,89.9999,89.9999,0.01428912,0.00000005020862
0.05,S,0.05,0.010,0,0.2973822,0,175.0395,45.01418,0.00009537995,0,71.97091,84.50576,2.03158,92.935840695689,92.9358406954325,0.000218357855461393,2.21560000000843,2.2156,0.00000611312,89.9999,89.9999,0.03179833,0.0000001004219
0.05999999,S,0.05999999,0.010,0,0.2973822,0,210.0474,45.00529,0.000283005,0,71.95509,84.50576,2.034144,117.987363112828,117.987363112537,0.000262081011974036,3.39547300001123,3.395473,0.00000873393,89.9999,89.9999,0.0598537,0.0000001746572
0.06999999,S,0.06999999,0.010,0,0.2973821,0,245.0553,44.99442,0.0006646782,0,71.93928,84.50576,2.036708,143.056335472769,143.056335472442,0.000305834618645275,4.82603600001441,4.826036,0.00001179228,89.9999,89.9999,0.1009612,0.0000002772882
0.07999999,S,0.07999999,0.010,0,0.2973821,0,280.0632,44.98157,0.001342739,0,71.92345,84.50576,2.039271,168.146032922014,168.14603292165,0.000349624401255602,6.50749600001796,6.507496,0.00001528852,89.9999,89.9999,0.1576289,0.0000004126922
0.08999999,S,0.08999999,0.010,0,0.297382,0,308.7096,44.96674,0.002441389,0,71.90764,84.50576,2.041835,188.7080293113,188.708029310906,0.000385511854071066,8.39457600002183,8.394576,0.00001914364,89.9999,89.9999,0.2321393,0.000000584853
0.09999999,S,0.09999999,0.010,0,0.2973819,0,311.9102,44.94997,0.004062615,0,71.89182,84.50576,2.044399,191.080171168372,191.080171167975,0.000389652021411964,10.3053800000258,10.30538,0.00002304016,89.9999,89.9999,0.325639,0.000000795772
0.11,S,0.11,0.010,0,0.2973817,0,315.1109,44.93245,0.006122581,0,71.876,84.50576,2.046962,193.457598683866,193.457598683465,0.000393801419124591,12.2399600000297,12.23996,0.00002697817,89.9999,89.9999,0.4383657,0.000001045864
0.12,S,0.12,0.01055417,0,0.3000681,0,318.3115,44.91475,0.008715065,0,71.86018,84.50576,2.049526,195.837398011444,195.83739801104,0.000397954952856918,14.1983300000338,14.19833,0.00003095772,89.9999,89.9999,0.5705572,0.000001335543
