M1600 Base, 49.03 Ibs, with 20 MPH Crosswind.CSV,11527.78,22.64052,12.970299999999998,913.6958,2372.404
M1600 Base, 49.03 Ibs, with 4 MPH Crosswind.CSV,11837.83,23.000529999999998,12.43028,926.4581,2398.485
M1600 Base, 49.03 Ibs, with 8 MPH Crosswind.CSV,11799.56,22.980529999999998,12.490289999999998,924.8717,2395.248
M1600 Base, 51.03 Ibs, with 0 MPH Crosswind.CSV,11225.25,22.50051,13.83032,886.05856984112,2290.665
M1600 Base, 51.03 Ibs, with 12 MPH Crosswind.CSV,11105.5,22.360509999999998,14.10032,881.431,2281.299
M1600 Base, 51.03 Ibs, with 16 MPH Crosswind.CSV,11017.74,22.25051,14.320329999999998,877.7642,2273.868
M1600 Base, 51.03 Ibs, with 20 MPH Crosswind.CSV,10905.0,22.10051,14.63033,873.0355,2264.271
M1600 Base, 51.03 Ibs, with 4 MPH Crosswind.CSV,11204.71,22.46051,13.87032,885.6044,2289.749
M1600 Base, 51.03 Ibs, with 8 MPH Crosswind.CSV,11167.75,22.44051,13.950319999999998,884.0414,2286.584
M1600 Base, 53.03 Ibs, with 0 MPH Crosswind.CSV,10617.27,21.9305,15.77036,847.940845530297,2189.973
M1600 Base, 53.03 Ibs, with 12 MPH Crosswind.CSV,10502.06,21.8205,16.22037,843.3757,2180.802
M1600 Base, 53.03 Ibs, with 16 MPH Crosswind.CSV,10417.45,21.700499999999998,16.600379999999998,839.7689,2173.548
M1600 Base, 53.03 Ibs, with 20 MPH Crosswind.CSV,10308.52,21.55049,17.170389999999998,835.1089,2164.161
M1600 Base, 53.03 Ibs, with 4 MPH Crosswind.CSV,10597.71,21.8905,15.830359999999999,847.4809,2189.052
M1600 Base, 53.03 Ibs, with 8 MPH Crosswind.CSV,10562.01,21.8705,15.970369999999999,845.9421,2185.962
M1600 Base, 55.03 Ibs, with 0 MPH Crosswind.CSV,10037.65,21.36049,19.85045,812.333145731206,2096.497
M1600 Base, 55.03 Ibs, with 12 MPH Crosswind.CSV,9926.913,21.260489999999997,0.0,807.8264,2087.518
M1600 Base, 55.03 Ibs, with 16 MPH Crosswind.CSV,9845.377,21.150479999999998,0.0,804.2728,2080.427
M1600 Base, 55.03 Ibs, with 20 MPH Crosswind.CSV,9740.467,21.00048,0.0,799.6849,2071.257
M1600 Base, 55.03 Ibs, with 4 MPH Crosswind.CSV,10018.96,21.34049,20.27046,811.8684,2095.575
M1600 Base, 55.03 Ibs, with 8 MPH Crosswind.CSV,9984.63,21.32049,0.0,810.3533,2092.557
M2000 Base, 49.60 Ibs, with 0 MPH Crosswind.CSV,16632.87,26.770615,7.110165,1213.38159443131,3379.921
M2000 Base, 49.60 Ibs, with 12 MPH Crosswind.CSV,16487.67,26.630605000000003,7.170164999999999,1208.815,3369.905
M2000 Base, 49.60 Ibs, with 16 MPH Crosswind.CSV,16385.78,26.530605,7.220165,1205.137,3361.774
M2000 Base, 49.60 Ibs, with 20 MPH Crosswind.CSV,16254.7,26.370604999999998,7.280165,1200.385,3351.272
M2000 Base, 49.60 Ibs, with 4 MPH Crosswind.CSV,16603.51,26.720615000000002,7.110165,1213.022,3379.186
M2000 Base, 49.60 Ibs, with 8 MPH Crosswind.CSV,16560.3,26.690615,7.130165,1211.446,3375.709
M2000 Base, 51.60 Ibs, with 0 MPH Crosswind.CSV,16288.15,26.670605000000002,7.470174999999999,1173.33746110827,3240.223
M2000 Base, 51.60 Ibs, with 12 MPH Crosswind.CSV,16143.14,26.540605,7.540175,1168.713,3230.361
M2000 Base, 51.60 Ibs, with 16 MPH Crosswind.CSV,16041.18,26.430605,7.590175,1165.027,3222.403
M2000 Base, 51.60 Ibs, with 20 MPH Crosswind.CSV,15910.01,26.280605,7.660175000000001,1160.271,3212.128
M2000 Base, 51.60 Ibs, with 4 MPH Crosswind.CSV,16259.0,26.630605000000003,7.480174999999999,1172.93,3239.432
M2000 Base, 51.60 Ibs, with 8 MPH Crosswind.CSV,16215.72,26.600605,7.5001750000000005,1171.35,3236.039
M2000 Base, 53.60 Ibs, with 0 MPH Crosswind.CSV,15926.6,26.540605,7.850175,1137.9029176882,3109.687
M2000 Base, 53.60 Ibs, with 12 MPH Crosswind.CSV,15783.45,26.420605000000002,7.920185,1133.328,3100.015
M2000 Base, 53.60 Ibs, with 16 MPH Crosswind.CSV,15682.47,26.300604999999997,7.970185000000001,1129.686,3092.246
M2000 Base, 53.60 Ibs, with 20 MPH Crosswind.CSV,15552.58,26.140594999999998,8.040185,1124.979,3082.214
M2000 Base, 53.60 Ibs, with 4 MPH Crosswind.CSV,15898.05,26.490605000000002,7.860175,1137.49,3108.878
M2000 Base, 53.60 Ibs, with 8 MPH Crosswind.CSV,15855.18,26.460605,7.8801749999999995,1135.93,3105.558
